tensor_name,shape,dtype,source_file
llm.lm_head.weight,"[73448, 2560]",torch.bfloat16,model-00002-of-00002.safetensors
llm.model.embed_tokens.weight,"[73448, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.input_layernorm.weight,[2560],torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.mlp.down_proj.weight,"[2560, 10240]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.mlp.gate_proj.weight,"[10240, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.mlp.up_proj.weight,"[10240, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.post_attention_layernorm.weight,[2560],torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.self_attn.k_proj.weight,"[256, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.self_attn.o_proj.weight,"[2560, 4096]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.self_attn.q_proj.weight,"[4096, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.0.self_attn.v_proj.weight,"[256, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.input_layernorm.weight,[2560],torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.mlp.down_proj.weight,"[2560, 10240]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.mlp.gate_proj.weight,"[10240, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.mlp.up_proj.weight,"[10240, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.post_attention_layernorm.weight,[2560],torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.self_attn.k_proj.weight,"[256, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.self_attn.o_proj.weight,"[2560, 4096]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.self_attn.q_proj.weight,"[4096, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
llm.model.layers.1.self_attn.v_proj.weight,"[256, 2560]",torch.bfloat16,model-00001-of-00002.safetensors
